author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640098/;Москва;sale;flat;3;49;2;58.94;23988580;Марьина роща;;;Марьина Роща;Тэйт ЖК
ID 52825739;homeowner;https://www.cian.ru/sale/flat/307814530/;Москва;sale;flat;7;15;2;46.5;23900000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872981/;Москва;sale;flat;37;37;2;48.0;42500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Absolute Premium;developer;https://www.cian.ru/sale/flat/308261025/;Москва;sale;flat;4;17;2;49.8;57968000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302177521/;Москва;sale;flat;3;15;2;58.54;61000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308069817/;Москва;sale;flat;4;21;2;54.0;58000000;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
MR Group;developer;https://www.cian.ru/sale/flat/308909118/;Москва;sale;flat;6;13;2;85.19;126021567;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/306883426/;Москва;sale;flat;2;21;2;71.9;65000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/280614853/;Москва;sale;flat;3;15;2;58.54;61000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;175450000;Якиманка;;;Боровицкая;Лаврушинский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301565559/;Москва;sale;flat;5;21;2;117.0;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
