author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 95814020;realtor;https://www.cian.ru/sale/flat/308490853/;Москва;sale;flat;12;17;2;71.0;17900000;2022;-1;-1;-1;-1;40 м²;17 м²;+79660562472;; Никитина;11к4;Рассказовка;
MR Group;developer;https://www.cian.ru/sale/flat/306610643/;Москва;sale;flat;2;59;2;31.1;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;15,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660272578;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308275177/;Москва;sale;flat;5;8;4;100.0;57000000;1954;-1;-1;-1;-1;75 м²;15 м²;+79060416629;Гагаринский; Строителей;6К6;Университет;
MR Group;developer;https://www.cian.ru/sale/flat/300287890/;Москва;sale;flat;5;43;2;57.89;26965162;2025;-1;Монолитный;-1;Предчистовая, чистовая;24,1 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;-1;-1;-1;-1;-1;-1;17 м²;+79647979823;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668235/;Москва;sale;flat;3;25;2;64.3;50154000;2027;-1;-1;-1;Чистовая;55,4 м²;-1;+74951464743;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Москва;sale;flat;9;18;4;176.6;96000000;2006;-1;-1;-1;-1;106 м²;19,3 м²;+79169574456;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;-1;-1;-1;-1;-1;36,6 м²;6,7 м²;+79637145462;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;2024;-1;Монолитно-кирпичный;-1;Без отделки;26 м²;23,5 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307151489/;Москва;sale;flat;4;5;4;98.5;46000000;1958;-1;-1;-1;-1;-1;22 м²;+79623610548;Тверской;2-й Волконский переулок;12;Цветной бульвар;
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;71281684;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;2007;-1;-1;-1;-1;-1;-1;+79197672046;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
Ю-Питер;real_estate_agent;https://www.cian.ru/sale/flat/308901152/;Москва;sale;flat;14;16;2;50.5;14000000;1976;-1;-1;-1;-1;28 м²;14,2 м²;+79681929060;Отрадное; Бестужевых;13;Отрадное;
Пионер;developer;https://www.cian.ru/sale/flat/301459955/;Москва;sale;flat;4;11;2;85.3;77775516;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951387235;Даниловский;;;Павелецкая;Опус ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;26,8 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;270980000;2025;-1;Монолитный;-1;Без отделки;37,8 м²;39,4 м²;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907057/;Москва;sale;flat;5;21;2;64.76;68500000;2021;-1;-1;-1;-1;-1;-1;+79623648720;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Основа;developer;https://www.cian.ru/sale/flat/286250328/;Москва;sale;flat;13;19;2;52.9;47610000;2024;-1;Монолитно-кирпичный;-1;Чистовая;32,4 м²;7,1 м²;+74951465137;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;2023;-1;-1;-1;-1;-1;7 м²;+79660544755;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/303533444/;Москва;sale;flat;20;29;4;92.9;29500000;2022;-1;-1;-1;-1;59,2 м²;8,4 м²;+79165941826;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Стадион Спартак;developer;https://www.cian.ru/sale/flat/298406172/;Москва;sale;flat;4;13;2;66.7;32609630;2025;-1;Монолитный;-1;Без отделки;31,9 м²;13,3 м²;+74951387190;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;26900000;2016;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Tekta Group;developer;https://www.cian.ru/sale/flat/301260593/;Москва;sale;flat;4;27;2;40.5;25037100;2026;-1;Монолитный;-1;Без отделки, предчистовая;25,5 м²;-1;+74951374375;Даниловский;;1;Крестьянская застава;Эра ЖК
ID 87092087;unknown;https://www.cian.ru/sale/flat/304976430/;Москва;sale;flat;3;5;4;105.0;37000000;1951;-1;-1;-1;-1;75 м²;8,5 м²;+79116601933;Басманный;Семеновская набережная;3/1К2;Электрозаводская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307756097/;Москва;sale;flat;30;37;5;216.4;130000000;-1;-1;-1;-1;-1;191,4 м²;20 м²;+79851058133;Тропарево-Никулино;проспект Вернадского;94к1;Тропарёво;Миракс Парк
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196116/;Москва;sale;flat;2;19;2;62.8;26242362;2025;-1;Монолитный;-1;Без отделки;38,2 м²;3,7 м²;+74951379653;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Tekta Group;developer;https://www.cian.ru/sale/flat/306869031/;Москва;sale;flat;16;34;1;31.2;15178800;2026;-1;Монолитно-кирпичный;-1;Без отделки;14,2 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/300822468/;Москва;sale;flat;5;21;3;117.0;114000000;2022;-1;-1;-1;-1;-1;-1;+79645365786;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/307252068/;Москва;sale;flat;6;16;3;158.0;205000000;-1;-1;-1;-1;-1;-1;12 м²;+79165385241;Якиманка; Большая Якиманка;22К3;Полянка;Коперник
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305256098/;Москва;sale;flat;36;37;3;66.0;43900000;-1;-1;-1;-1;-1;31,4 м²;12,3 м²;+79660623833;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/308473239/;Москва;sale;flat;2;27;2;49.5;21208325;2024;-1;Панельный, монолитный;-1;Без отделки, чистовая;24,7 м²;10,5 м²;+74951378815;Щукино;;;Щукинская;Октябрьское Поле ЖК
Основа;developer;https://www.cian.ru/sale/flat/304303445/;Москва;sale;flat;3;5;2;38.1;17430750;2024;-1;Монолитно-кирпичный;-1;Без отделки, черновая;29,6 м²;3,5 м²;+74951374125;Марфино;Ботаническая ;29К1;Владыкино;VERY
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308882629/;Москва;sale;flat;9;12;2;79.8;48000000;-1;-1;-1;-1;-1;-1;10 м²;+79057198567;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/295660041/;Москва;sale;flat;14;18;5;220.0;90000000;2000;-1;-1;-1;-1;-1;20 м²;+79684939608;Раменки; Улофа Пальме;1с7;Минская;
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/302037458/;Москва;sale;flat;2;46;2;63.8;44757291;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;40,9 м²;5,6 м²;+74951374925;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308711129/;Москва;sale;flat;9;21;3;117.0;115000000;2023;-1;-1;-1;-1;-1;10 м²;+79645660140;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300788449/;Москва;sale;flat;14;22;3;84.0;45000000;2020;-1;-1;-1;-1;40 м²;11 м²;+79854216588;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/301161554/;Москва;sale;flat;3;8;5;222.0;257000000;2020;-1;-1;-1;-1;90 м²;30 м²;+79896035005;Раменки;Мосфильмовская ;1А;Ломоносовский проспект;Вишневый сад
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304754747/;Москва;sale;flat;2;3;5;311.0;265000000;-1;-1;-1;-1;-1;184 м²;20 м²;+79660490133;Хамовники;1-й Зачатьевский переулок;6;Кропоткинская;
EraOneHolding;developer;https://www.cian.ru/sale/flat/306783471/;Москва;sale;flat;3;5;2;178.6;150400000;2019;-1;Монолитно-кирпичный;-1;Черновая;-1;-1;+74951387245;Арбат; Арбат;39;Смоленская;Artisan
COLDY;developer;https://www.cian.ru/sale/flat/303330161/;Москва;sale;flat;4;15;3;112.49;85627388;2027;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387020;Даниловский; Серпуховский Вал;7;Тульская;Дом 7 Даниловский
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296139192/;Москва;sale;flat;24;44;3;69.0;31700000;2018;-1;-1;-1;-1;-1;10 м²;+79660641529;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/306946962/;Москва;sale;flat;2;21;5;242.0;240000000;2017;-1;-1;-1;-1;-1;-1;+79623673880;Пресненский; Сергея Макеева;9;Улица 1905 года;RedSide
MR Group;developer;https://www.cian.ru/sale/flat/306603296/;Москва;sale;flat;7;36;1;40.9;30348986;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951378819;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/303817767/;Москва;sale;flat;3;13;4;93.0;79950000;-1;-1;-1;-1;-1;66 м²;22 м²;+79653792954;Раменки;Ломоносовский проспект;36;Ломоносовский проспект;Счастье на Ломоносовском
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307000211/;Москва;sale;flat;2;7;3;137.1;650000000;-1;-1;-1;-1;-1;-1;-1;+79646322375;Пресненский;Малая Бронная ;15Б;Пушкинская;Малая Бронная 15
Саид Османов;realtor;https://www.cian.ru/sale/flat/308829142/;Москва;sale;flat;6;6;4;210.8;171000000;2014;-1;-1;-1;-1;-1;20 м²;+79160045056;Хамовники;Комсомольский проспект;42С2;Спортивная;Clerkenwell House
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304734989/;Москва;sale;flat;13;24;3;64.8;24200000;2022;-1;-1;-1;-1;-1;20 м²;+79660515680;Донской;Новоданиловская набережная;8;Верхние котлы;Новоданиловская 8
Hutton Development;developer;https://www.cian.ru/sale/flat/305627366/;Москва;sale;flat;8;17;3;142.1;91228200;2024;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, черновая, чистовая;92,3 м²;8,2 м²;+74951387225;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308695817/;Москва;sale;flat;23;24;4;123.0;95000000;2021;-1;-1;-1;-1;-1;-1;+79852532655;Фили-Давыдково;Кастанаевская ;66;Кунцевская;Shome
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296835523/;Москва;sale;flat;3;13;4;110.4;97500000;-1;-1;-1;-1;-1;57,1 м²;17,4 м²;+79663386401;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062350/;Москва;sale;flat;26;41;4;138.2;138000000;2020;-1;-1;-1;-1;-1;10 м²;+79067942859;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/307341602/;Москва;sale;flat;4;7;4;150.0;226130000;2007;-1;-1;-1;-1;-1;-1;+79688268284;Пресненский;Хлыновский тупик;4;Арбатская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/200828608/;Москва;sale;flat;6;7;5;271.7;294000000;2012;-1;-1;-1;-1;220 м²;25 м²;+79645387315;Хамовники;Смоленский бульвар;24к3;Смоленская;Клубный дом на Смоленском бульваре
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307822553/;Москва;sale;flat;4;4;4;240.5;338554259;-1;-1;-1;-1;-1;134 м²;16 м²;+79672093665;Раменки;Минская ;2Вк6;Минская;Снегири Эко
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/302590852/;Москва;sale;flat;4;4;5;396.0;997920000;2024;-1;-1;-1;-1;-1;20 м²;+79175343915;Таганский; Солянка;7;Китай-город;Дом с Атлантами
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Москва;sale;flat;6;17;1;43.4;19100000;2025;-1;-1;-1;Без отделки;14,8 м²;16,3 м²;+79031014072;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/292773654/;Москва;sale;flat;3;9;4;130.0;205000000;2021;-1;-1;-1;-1;-1;10 м²;+79645656034;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295203875/;Москва;sale;flat;2;9;5;162.0;265500000;-1;-1;-1;-1;-1;115 м²;14 м²;+79672093665;Арбат; Малая Молчановка;8С1;Арбатская;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304424290/;Москва;sale;flat;3;9;4;287.0;350000000;2021;-1;-1;-1;-1;-1;16,2 м²;+79645658096;Хамовники;Саввинская набережная;13;Киевская;SAVVIN RIVER RESIDENCE
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Москва;sale;flat;9;20;1;39.74;16802072;2024;-1;-1;-1;-1;11,4 м²;20,2 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296458781/;Москва;sale;flat;2;7;4;161.6;265500000;-1;-1;-1;-1;-1;142,6 м²;14 м²;+79169507915;Арбат; Малая Молчановка;8;Арбатская;
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/308549670/;Москва;sale;flat;13;33;2;40.0;17900000;2023;-1;-1;-1;-1;-1;10 м²;+79104517991;Метрогородок;Открытое шоссе;18Ак4;Бульвар Рокоссовского;Лосиноостровский парк
Tekta Group;developer;https://www.cian.ru/sale/flat/303506224/;Москва;sale;flat;9;34;3;57.1;23599430;2026;-1;Монолитно-кирпичный;-1;Без отделки;36,4 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/288099221/;Москва;sale;flat;3;4;3;188.5;175000000;-1;-1;-1;-1;-1;169,7 м²;13,8 м²;+79660630992;Тверской;Дегтярный переулок;15к1;Пушкинская;
Сергей Климешов;realtor;https://www.cian.ru/sale/flat/301428962/;Москва;sale;flat;82;85;4;285.0;251000000;2016;-1;-1;-1;-1;175,8 м²;15,4 м²;+79057240810;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;МФК ОКО
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302536248/;Москва;sale;flat;8;9;5;191.0;295554000;2020;-1;-1;-1;-1;-1;50 м²;+79639769503;Раменки;Мосфильмовская ;1к9;Ломоносовский проспект;Вишневый сад
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301945082/;Москва;sale;flat;4;6;4;231.1;462200000;2017;-1;-1;-1;-1;137 м²;-1;+79165760980;Хамовники;Курсовой переулок;10/1;Кропоткинская;Nabokov
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307500430/;Москва;sale;flat;5;6;5;423.0;1634333256;2003;-1;-1;-1;-1;206 м²;41 м²;+79652918238;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;1972;-1;-1;-1;-1;17 м²;7 м²;+79163568699;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298547671/;Москва;sale;flat;4;22;2;66.0;34500000;2020;-1;-1;-1;-1;-1;27 м²;+79647824726;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305593994/;Москва;sale;flat;6;6;3;65.0;47700000;-1;-1;-1;-1;-1;49 м²;10 м²;+79670580817;Басманный; Покровка;38С1;Курская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308008345/;Москва;sale;flat;4;21;3;99.0;140000000;2021;-1;-1;-1;-1;58 м²;9 м²;+79060406184;Якиманка;Донская ;14;Шаболовская;Медный 3.14
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308640033/;Москва;sale;flat;5;5;4;234.0;150000000;-1;-1;-1;-1;-1;120 м²;20,4 м²;+79858655936;Покровское-Стрешнево;Береговая ;8К1;Стрешнево;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306889168/;Москва;sale;flat;13;16;4;158.0;180000000;2017;-1;-1;-1;-1;109 м²;15 м²;+79647823389;Раменки;Воробьевское шоссе;4С1;Поклонная;Воробьёв Дом
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306596318/;Москва;sale;flat;2;10;5;260.0;225000000;2007;-1;-1;-1;-1;107 м²;20 м²;+79652435417;Хамовники;3-я Фрунзенская ;5к1;Фрунзенская;Спорт Хаус
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/302487462/;Москва;sale;flat;4;6;3;155.5;230000000;-1;-1;-1;-1;-1;130 м²;20,5 м²;+79660615407;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/302431621/;Москва;sale;flat;5;15;5;290.0;450000000;2021;-1;-1;-1;-1;148 м²;30 м²;+79629757754;Хамовники;Олсуфьевский переулок;9к2;Фрунзенская;White Khamovniki
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305160329/;Москва;sale;flat;5;8;5;469.9;1800000000;-1;-1;-1;-1;-1;324 м²;60 м²;+79099734492;Хамовники; Пречистенка;13;Кропоткинская;Пречистенка 13
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Москва;sale;flat;3;12;2;37.0;9500000;-1;-1;-1;-1;-1;26 м²;6 м²;+79104832520;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307100435/;Москва;sale;flat;1;16;2;54.0;13800000;-1;-1;-1;-1;-1;32,3 м²;8 м²;+79031017025;Ясенево;Соловьиный проезд;4К1;Ясенево;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Москва;sale;flat;4;15;1;53.36;13950000;2015;-1;-1;-1;-1;21,4 м²;11,4 м²;+79164725525;; Татьянин Парк;16к1;Говорово;
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Москва;sale;flat;13;14;1;39.0;17600000;2011;-1;-1;-1;-1;20 м²;8 м²;+79850012380;Таганский;переулок Ковров;1;Москва-Товарная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/304027788/;Москва;sale;flat;4;5;2;41.0;18950000;1963;-1;-1;-1;-1;28 м²;6 м²;+79857048937;Мещанский;Трифоновская ;55;Рижская;
RND;real_estate_agent;https://www.cian.ru/sale/flat/305967338/;Москва;sale;flat;6;29;2;63.2;20999000;2025;-1;-1;-1;Чистовая;36,4 м²;11,1 м²;+79645792925;Печатники;;7;Кожуховская;Левел Южнопортовая ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Москва;sale;flat;5;6;1;43.0;26900000;-1;-1;-1;-1;-1;-1;-1;+79684748757;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308878043/;Москва;sale;flat;13;21;3;76.1;76000000;2017;-1;-1;-1;-1;-1;-1;+79660619463;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года;RedSide
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308881807/;Москва;sale;flat;9;11;4;169.5;79970000;2000;-1;-1;-1;-1;-1;10 м²;+79660619967;Хорошевский; Куусинена;21А;Зорге;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304046651/;Москва;sale;flat;16;17;5;217.4;85000000;1998;-1;-1;-1;-1;-1;12 м²;+79623616753;Раменки;Мичуринский проспект;19К1;Раменки;
